enrollment_id,student_id,course_id,instructor_id,term_id,dept_id,final_grade,gpa_points,credits_attempted,credits_earned
1,262,41,2,9,5,B,3.0,4,4
2,464,50,6,6,2,B,3.0,3,3
3,53,10,5,4,2,A,4.0,4,4
4,79,49,13,11,1,B,3.0,4,4
5,488,50,11,8,4,A,4.0,3,3
6,390,38,8,11,5,A,4.0,3,3
7,166,41,6,3,4,B,3.0,4,4
8,241,29,11,5,3,A,4.0,4,4
9,29,23,9,2,3,F,0.0,3,0
10,232,3,1,6,3,B,3.0,4,4
11,331,6,10,10,5,D,1.0,4,4
12,237,38,9,13,1,F,0.0,3,0
13,466,37,11,4,3,A,4.0,3,3
14,244,33,3,1,4,B,3.0,3,3
15,416,22,12,2,5,B,3.0,4,4
16,21,16,12,8,4,F,0.0,4,0
17,268,40,3,6,3,C,2.0,4,4
18,199,27,13,6,5,B,3.0,4,4
19,405,41,11,6,1,C,2.0,4,4
20,49,36,11,7,3,C,2.0,3,3
21,371,43,15,10,2,C,2.0,4,4
22,42,38,11,3,3,C,2.0,3,3
23,496,42,12,11,4,B,3.0,3,3
24,305,46,2,5,5,D,1.0,3,3
25,330,22,14,3,5,B,3.0,4,4
26,331,43,7,9,3,A,4.0,4,4
27,186,20,3,4,3,F,0.0,3,0
28,99,15,3,3,1,C,2.0,3,3
29,433,7,9,13,5,F,0.0,3,0
30,20,43,6,15,5,B,3.0,4,4
31,306,25,3,3,2,A,4.0,3,3
32,415,11,12,8,1,F,0.0,3,0
33,187,44,12,4,4,A,4.0,3,3
34,146,49,12,13,4,B,3.0,4,4
35,274,16,5,13,4,B,3.0,4,4
36,189,44,10,8,4,C,2.0,3,3
37,399,25,9,9,4,B,3.0,3,3
38,419,13,13,10,2,C,2.0,3,3
39,27,42,8,14,3,F,0.0,3,0
40,479,7,12,14,5,B,3.0,3,3
41,146,6,13,3,3,F,0.0,4,0
42,464,33,3,14,4,B,3.0,3,3
43,485,15,14,8,3,A,4.0,3,3
44,213,4,7,9,3,B,3.0,3,3
45,198,6,6,4,1,C,2.0,4,4
46,477,7,14,12,3,B,3.0,3,3
47,71,3,5,15,4,B,3.0,4,4
48,389,46,8,8,5,A,4.0,3,3
49,464,6,1,5,2,B,3.0,4,4
50,281,47,10,9,4,B,3.0,4,4
51,398,19,4,5,1,B,3.0,3,3
52,123,27,11,13,5,F,0.0,4,0
53,33,8,14,15,4,A,4.0,4,4
54,275,2,11,9,5,B,3.0,3,3
55,368,10,5,7,1,A,4.0,4,4
56,181,16,10,7,2,B,3.0,4,4
57,269,24,2,9,5,F,0.0,3,0
58,403,33,9,1,4,F,0.0,3,0
59,23,41,7,6,3,A,4.0,4,4
60,183,5,6,4,1,A,4.0,3,3
61,377,49,6,3,1,D,1.0,4,4
62,280,22,14,11,2,F,0.0,4,0
63,357,31,11,3,2,B,3.0,4,4
64,367,50,8,1,3,B,3.0,3,3
65,23,13,15,1,3,C,2.0,3,3
66,264,26,14,9,4,C,2.0,4,4
67,19,49,11,4,3,D,1.0,4,4
68,442,50,1,14,3,C,2.0,3,3
69,64,24,7,15,4,F,0.0,3,0
70,459,25,6,3,4,F,0.0,3,0
71,189,34,5,13,1,F,0.0,4,0
72,41,28,10,14,2,F,0.0,4,0
73,151,21,2,2,3,C,2.0,3,3
74,157,29,10,12,4,B,3.0,4,4
75,354,29,6,8,1,D,1.0,4,4
76,315,28,5,11,1,B,3.0,4,4
77,344,41,7,6,5,B,3.0,4,4
78,488,2,3,14,5,F,0.0,3,0
79,18,9,2,4,3,D,1.0,4,4
80,197,37,1,10,2,F,0.0,3,0
81,486,24,6,8,1,A,4.0,3,3
82,71,34,6,7,3,C,2.0,4,4
83,128,8,1,12,2,F,0.0,4,0
84,266,25,15,9,1,C,2.0,3,3
85,397,17,12,8,2,A,4.0,4,4
86,147,45,15,8,2,B,3.0,3,3
87,70,5,8,3,4,B,3.0,3,3
88,415,44,14,6,3,B,3.0,3,3
89,282,35,5,15,3,B,3.0,3,3
90,365,46,15,12,2,D,1.0,3,3
91,261,15,2,4,2,B,3.0,3,3
92,405,32,1,6,5,A,4.0,4,4
93,189,30,13,9,2,A,4.0,3,3
94,453,6,2,5,4,F,0.0,4,0
95,270,27,13,7,5,B,3.0,4,4
96,65,21,11,2,4,F,0.0,3,0
97,349,34,6,3,5,A,4.0,4,4
98,94,50,3,7,5,B,3.0,3,3
99,426,8,9,3,3,B,3.0,4,4
100,83,21,15,12,2,D,1.0,3,3
101,486,34,15,5,1,C,2.0,4,4
102,101,41,9,5,2,C,2.0,4,4
103,315,35,2,9,2,A,4.0,3,3
104,483,38,3,3,5,A,4.0,3,3
105,173,37,1,14,1,B,3.0,3,3
106,24,42,13,10,3,B,3.0,3,3
107,393,37,7,10,1,F,0.0,3,0
108,456,41,9,5,3,F,0.0,4,0
109,126,44,7,5,4,B,3.0,3,3
110,353,4,3,8,4,F,0.0,3,0
111,238,14,6,10,2,C,2.0,4,4
112,442,46,6,12,3,D,1.0,3,3
113,67,49,6,9,5,B,3.0,4,4
114,164,16,8,2,3,F,0.0,4,0
115,127,10,2,1,3,D,1.0,4,4
116,443,40,7,4,2,C,2.0,4,4
117,479,37,12,6,2,B,3.0,3,3
118,256,33,8,8,3,F,0.0,3,0
119,12,6,7,9,4,B,3.0,4,4
120,111,38,6,1,1,C,2.0,3,3
121,254,39,15,14,4,C,2.0,4,4
122,275,1,14,2,4,B,3.0,3,3
123,452,17,12,6,4,D,1.0,4,4
124,24,26,1,10,5,B,3.0,4,4
125,186,36,5,2,4,F,0.0,3,0
126,231,49,9,5,5,A,4.0,4,4
127,61,9,2,7,3,C,2.0,4,4
128,286,24,13,3,2,A,4.0,3,3
129,261,26,9,1,1,B,3.0,4,4
130,71,46,6,13,4,F,0.0,3,0
131,234,10,10,15,5,B,3.0,4,4
132,168,40,6,3,4,A,4.0,4,4
133,379,20,10,6,5,F,0.0,3,0
134,273,32,12,10,3,F,0.0,4,0
135,418,2,6,6,1,F,0.0,3,0
136,299,20,13,15,1,A,4.0,3,3
137,243,17,11,13,5,A,4.0,4,4
138,117,47,1,10,4,B,3.0,4,4
139,269,41,12,10,4,B,3.0,4,4
140,421,44,4,1,5,B,3.0,3,3
141,98,2,8,6,4,B,3.0,3,3
